,Tweet,target,tokenized_tweet,cleaned_tweet
1498,السترة مزيانة ستري ماستر الله راه بنادم خايبة,-1,السترة مزيانة ستري ماستر الله راه بنادم خايبة,"['السترة', 'مزيانة', 'ستري', 'ماستر', 'الله', 'راه', 'بنادم', 'خايبة']"
1499,لقد فقدنا العروبة والدين والهوية بالله العلي العظيم,-1,لقد فقدنا العروبة والدين والهوية بالله العلي العظيم,"['لقد', 'فقدنا', 'العروبة', 'والدين', 'والهوية', 'بالله', 'العلي', 'العظيم']"
1500,خخخخخ واش بقاو المسؤولين حيت عصبهووم الفيديو أش غاتقول علينا حنا اللي سنين ومعصبين,-1,خخخخخ واش بقاو المسؤولين حيت عصبهووم الفيديو أش غاتقول علينا حنا اللي سنين ومعصبين,"['خخخ', 'واش', 'بقاو', 'المسؤولين', 'حيت', 'عصبهووم', 'الفيديو', 'أش', 'غاتقول', 'علينا', 'حنا', 'اللي', 'سنين', 'ومعصبين']"
1501,العقول الضعيفة شحال ساهل تنصب عليهم فحال هذو باقين فالبلاد عمرنا نديرو شي وزة,-1,العقول الضعيفة شحال ساهل تنصب عليهم فحال هذو باقين فالبلاد عمرنا نديرو شي وزة,"['العقول', 'الضعيفة', 'شحال', 'ساهل', 'تنصب', 'عليهم', 'فحال', 'هذو', 'باقين', 'فالبلاد', 'عمرنا', 'نديرو', 'شي', 'وزة']"
1502,كلب عيط لحمارة وانتهت المكالمة,-1,كلب عيط لحمارة وانتهت المكالمة,"['كلب', 'عيط', 'لحمارة', 'وانتهت', 'المكالمة']"
1503,تكليخة مزدوجة : الإلتحاق بالقتلة وقطاع الطرق الدواعش والالتحاق بهم انقضى موسمهم ودخلوا مزبلة التاريخ.,-1,تكليخة مزدوجة الإلتحاق بالقتلة وقطاع الطرق الدواعش والالتحاق بهم انقضى موسمهم ودخلوا مزبلة التاريخ,"['تكليخة', 'مزدوجة', 'الإلتحاق', 'بالقتلة', 'وقطاع', 'الطرق', 'الدواعش', 'والالتحاق', 'بهم', 'انقضى', 'موسمهم', 'ودخلوا', 'مزبلة', 'التاريخ']"
1504,باين مختل عقلي ...مخلي خدمتوا تخلى الأهل ديالوا مشى افجر نفسوا فسوريا العراق الأبرياء,-1,باين مختل عقلي مخلي خدمتوا تخلى الأهل ديالوا مشى افجر نفسوا فسوريا العراق الأبرياء,"['باين', 'مختل', 'عقلي', 'مخلي', 'خدمتوا', 'تخلى', 'الأهل', 'ديالوا', 'مشى', 'افجر', 'نفسوا', 'فسوريا', 'العراق', 'الأبرياء']"
1505,الدار البيضاء وجدت يسلط الضوء الفساد المستشري بنياتها التحتية المغشوشة، مناطق أخرى، كمدينة خريبكة ،فإنها تعاني صمت، نسامح المفسدين الدنيا الآ خرة.,-1,الدار البيضاء وجدت يسلط الضوء الفساد المستشري بنياتها التحتية المغشوشة مناطق أخرى كمدينة خريبكة فإنها تعاني صمت نسامح المفسدين الدنيا الآ خرة,"['الدار', 'البيضاء', 'وجدت', 'يسلط', 'الضوء', 'الفساد', 'المستشري', 'بنياتها', 'التحتية', 'المغشوشة', 'مناطق', 'أخرى', 'كمدينة', 'خريبكة', 'فإنها', 'تعاني', 'صمت', 'نسامح', 'المفسدين', 'الدنيا', 'الآ', 'خرة']"
1506,يﻻ تحاسبوش المسؤواين هاد الكارتة راه كاينة ﻻ دولة وﻻ حكومة نبقاوش نكدبو راسنا,-1,تحاسبوش المسؤواين هاد الكارتة راه كاينة دولة حكومة نبقاوش نكدبو راسنا,"['تحاسبوش', 'المسؤواين', 'هاد', 'الكارتة', 'راه', 'كاينة', 'دولة', 'حكومة', 'نبقاوش', 'نكدبو', 'راسنا']"
1507,كلشي غشاش، كلشي منافق الفوق الأسفل !,-1,كلشي غشاش كلشي منافق الفوق الأسفل,"['كلشي', 'غشاش', 'كلشي', 'منافق', 'الفوق', 'الأسفل']"
1508,عيب حاجة ماتفرح، حيط بلا أساس المياه تغمره، فين المهندس، المقاول، الجماعة .,-1,عيب حاجة ماتفرح حيط بلا أساس المياه تغمره فين المهندس المقاول الجماعة,"['عيب', 'حاجة', 'ماتفرح', 'حيط', 'بلا', 'أساس', 'المياه', 'تغمره', 'فين', 'المهندس', 'المقاول', 'الجماعة']"
1509,تهطل خمسين المئة الامطار تسقط بامريكا لغرق المغرب قاطبة,-1,تهطل خمسين المئة الامطار تسقط بامريكا لغرق المغرب قاطبة,"['تهطل', 'خمسين', 'المئة', 'الامطار', 'تسقط', 'بامريكا', 'لغرق', 'المغرب', 'قاطبة']"
1510,واااسيرو ليرزق مكم..لعذاب الدنيا عذاب القبر,-1,واااسيرو ليرزق مكم لعذاب الدنيا عذاب القبر,"['واااسيرو', 'ليرزق', 'مكم', 'لعذاب', 'الدنيا', 'عذاب', 'القبر']"
1511,والله اقدر اشوف هاذي قلبي يبكي ،،يارب مالهم غيرك احفظهم والله مني قادر,-1,والله اقدر اشوف هاذي قلبي يبكي يارب مالهم غيرك احفظهم والله مني قادر,"['والله', 'اقدر', 'اشوف', 'هاذي', 'قلبي', 'يبكي', 'يارب', 'مالهم', 'غيرك', 'احفظهم', 'والله', 'مني', 'قادر']"
1512,ربي استودعتك بيوتا ذكر اسمك ومقدساتك واستودعتك شعبا أعزل لايملك سواك اقسم ياالله,-1,ربي استودعتك بيوتا ذكر اسمك ومقدساتك واستودعتك شعبا أعزل لايملك سواك اقسم ياالله,"['ربي', 'استودعتك', 'بيوتا', 'ذكر', 'اسمك', 'ومقدساتك', 'واستودعتك', 'شعبا', 'أعزل', 'لايملك', 'سواك', 'اقسم', 'ياالله']"
1513,شرذمة اوروبا وامريكا يتطاولون اطفال فلسطين العزل,-1,شرذمة اوروبا وامريكا يتطاولون اطفال فلسطين العزل,"['شرذمة', 'اوروبا', 'وامريكا', 'يتطاولون', 'اطفال', 'فلسطين', 'العزل']"
1514,قريبا سيموت المواطين واقفا,-1,قريبا سيموت المواطين واقفا,"['قريبا', 'سيموت', 'المواطين', 'واقفا']"
1515,اطفال خارقون وانتو حرامية خارقون,-1,اطفال خارقون وانتو حرامية خارقون,"['اطفال', 'خارقون', 'وانتو', 'حرامية', 'خارقون']"
1516,حسبي الله ونعم الوكيل فيهم بساند فيهم الله ينتقم منهم,-1,حسبي الله ونعم الوكيل فيهم بساند فيهم الله ينتقم منهم,"['حسبي', 'الله', 'ونعم', 'الوكيل', 'فيهم', 'بساند', 'فيهم', 'الله', 'ينتقم', 'منهم']"
1517,حسبي الله عليهم عساها قامت القيامه قهر,-1,حسبي الله عليهم عساها قامت القيامه قهر,"['حسبي', 'الله', 'عليهم', 'عساها', 'قامت', 'القيامه', 'قهر']"
1518,وينهم هدول تبعين حقوق الطفل والإنسانية والبطيخ,-1,وينهم هدول تبعين حقوق الطفل والإنسانية والبطيخ,"['وينهم', 'هدول', 'تبعين', 'حقوق', 'الطفل', 'والإنسانية', 'والبطيخ']"
1519,حكومة العدالة والتنمية تتلدد افقار الفقير وتعمل ليل نهار كيفية الزيادات المواد الاساسية يحتاجها الضعيف وترد الجميل للمغاربة انتخابهم,-1,حكومة العدالة والتنمية تتلدد افقار الفقير وتعمل ليل نهار كيفية الزيادات المواد الاساسية يحتاجها الضعيف وترد الجميل للمغاربة انتخابهم,"['حكومة', 'العدالة', 'والتنمية', 'تتلدد', 'افقار', 'الفقير', 'وتعمل', 'ليل', 'نهار', 'كيفية', 'الزيادات', 'المواد', 'الاساسية', 'يحتاجها', 'الضعيف', 'وترد', 'الجميل', 'للمغاربة', 'انتخابهم']"
1520,أستحمار الشعب المغلوب أمر,-1,أستحمار الشعب المغلوب أمر,"['أستحمار', 'الشعب', 'المغلوب', 'أمر']"
1521,آلله اكبر آلله اكبر الكفار الفجر الحرام والخنازير مكانه,-1,آلله اكبر آلله اكبر الكفار الفجر الحرام والخنازير مكانه,"['آلله', 'اكبر', 'آلله', 'اكبر', 'الكفار', 'الفجر', 'الحرام', 'والخنازير', 'مكانه']"
1522,اكياس بلاستيكية قنينات فارغة حفاضات الاطفال عصي احجار مخلفات البناء اللهم هدا منكر ونحن كمواطنون مسؤولون بالدرجة ولكم واسع النظر,-1,اكياس بلاستيكية قنينات فارغة حفاضات الاطفال عصي احجار مخلفات البناء اللهم هدا منكر ونحن كمواطنون مسؤولون بالدرجة ولكم واسع النظر,"['اكياس', 'بلاستيكية', 'قنينات', 'فارغة', 'حفاضات', 'الاطفال', 'عصي', 'احجار', 'مخلفات', 'البناء', 'اللهم', 'هدا', 'منكر', 'ونحن', 'كمواطنون', 'مسؤولون', 'بالدرجة', 'ولكم', 'واسع', 'النظر']"
1523,مغرب موازين مغرب الأقمار الاصطناعية مغرب قطار الفائق السرعة مغرب الاستثمارات إفريقيا مغرب تنظيم كأس العالم يتوفر بنية تحتية جيدة هههه،,-1,مغرب موازين مغرب الأقمار الاصطناعية مغرب قطار الفائق السرعة مغرب الاستثمارات إفريقيا مغرب تنظيم كأس العالم يتوفر بنية تحتية جيدة هههه,"['مغرب', 'موازين', 'مغرب', 'الأقمار', 'الاصطناعية', 'مغرب', 'قطار', 'الفائق', 'السرعة', 'مغرب', 'الاستثمارات', 'إفريقيا', 'مغرب', 'تنظيم', 'كأس', 'العالم', 'يتوفر', 'بنية', 'تحتية', 'جيدة', 'ههه']"
1524,إختناق قنوات صرف مياه الأمطار أدى تجمع المياه الشوارع صعوبة مرور السيارات كشف غش المسؤولين المشرفين المدين,-1,إختناق قنوات صرف مياه الأمطار أدى تجمع المياه الشوارع صعوبة مرور السيارات كشف غش المسؤولين المشرفين المدين,"['إختناق', 'قنوات', 'صرف', 'مياه', 'الأمطار', 'أدى', 'تجمع', 'المياه', 'الشوارع', 'صعوبة', 'مرور', 'السيارات', 'كشف', 'غش', 'المسؤولين', 'المشرفين', 'المدين']"
1525,المقال يعكس الواقع الإطلاق,-1,المقال يعكس الواقع الإطلاق,"['المقال', 'يعكس', 'الواقع', 'الإطلاق']"
1526,مريض شانه شان الدواعش المرضى والمهووسين بعلاقتهم الله الفئات المريضة,-1,مريض شانه شان الدواعش المرضى والمهووسين بعلاقتهم الله الفئات المريضة,"['مريض', 'شانه', 'شان', 'الدواعش', 'المرضى', 'والمهووسين', 'بعلاقتهم', 'الله', 'الفئات', 'المريضة']"
1527,للهول!!! الأمس القريب كنت أحسب الحمير علاقة بالفلسفة الفكر الحر، الحالة هاته، فسأشد الرحال بقعة كوكبنا يوجد هاته الأنواع الهجينة الحمير.,-1,للهول الأمس القريب كنت أحسب الحمير علاقة بالفلسفة الفكر الحر الحالة هاته فسأشد الرحال بقعة كوكبنا يوجد هاته الأنواع الهجينة الحمير,"['للهول', 'الأمس', 'القريب', 'كنت', 'أحسب', 'الحمير', 'علاقة', 'بالفلسفة', 'الفكر', 'الحر', 'الحالة', 'هاته', 'فسأشد', 'الرحال', 'بقعة', 'كوكبنا', 'يوجد', 'هاته', 'الأنواع', 'الهجينة', 'الحمير']"
1528,مناورات روسيا المنطقة العربية كلها بضوء أخضر أمريكي-إسرائيلي إنهاك دول المنطقة.,-1,مناورات روسيا المنطقة العربية كلها بضوء أخضر أمريكي إسرائيلي إنهاك دول المنطقة,"['مناورات', 'روسيا', 'المنطقة', 'العربية', 'كلها', 'بضوء', 'أخضر', 'أمريكي', 'إسرائيلي', 'إنهاك', 'دول', 'المنطقة']"
1529,صراحة نبق نعرف هده الفوضى الهلاكة بدات بالربيع العبري,-1,صراحة نبق نعرف هده الفوضى الهلاكة بدات بالربيع العبري,"['صراحة', 'نبق', 'نعرف', 'هده', 'الفوضى', 'الهلاكة', 'بدات', 'بالربيع', 'العبري']"
1530,رحمةا لله الأحزاب أصبحت بواب يلجها ودب,-1,رحمةا لله الأحزاب أصبحت بواب يلجها ودب,"['رحمةا', 'لله', 'الأحزاب', 'أصبحت', 'بواب', 'يلجها', 'ودب']"
1531,باركة علينا بزاف شوفو الناس فين وصلوا واش الامزيغي ممزوجش العربية واالعربي ممزوجش الامزغية ادوها ريوسكم وخدموا بلادكم,-1,باركة علينا بزاف شوفو الناس فين وصلوا واش الامزيغي ممزوجش العربية واالعربي ممزوجش الامزغية ادوها ريوسكم وخدموا بلادكم,"['باركة', 'علينا', 'بزاف', 'شوفو', 'الناس', 'فين', 'وصلوا', 'واش', 'الامزيغي', 'ممزوجش', 'العربية', 'واالعربي', 'ممزوجش', 'الامزغية', 'ادوها', 'ريوسكم', 'وخدموا', 'بلادكم']"
1532,نقول الله اعطكم الذل معكم تقة رؤوسكم شكون مسوق ازوركم عزرائيل انشاء الله,-1,نقول الله اعطكم الذل معكم تقة رؤوسكم شكون مسوق ازوركم عزرائيل انشاء الله,"['نقول', 'الله', 'اعطكم', 'الذل', 'معكم', 'تقة', 'رؤوسكم', 'شكون', 'مسوق', 'ازوركم', 'عزرائيل', 'انشاء', 'الله']"
1533,لقد تسبب الواقع المؤلم نفوري العربية، تمثل رمزاً رموز القهر والاستبداد,-1,لقد تسبب الواقع المؤلم نفوري العربية تمثل رمزا رموز القهر والاستبداد,"['لقد', 'تسبب', 'الواقع', 'المؤلم', 'نفوري', 'العربية', 'تمثل', 'رمزا', 'رموز', 'القهر', 'والاستبداد']"
1534,الدول العربيه فقط مستهدفة سواء نزاع عرقي وديني. الصين الاف اللغات نسمع بهاذا المانيا فرنسا بلجيكا .نسمع بهاذا فقط المغرب الجزاءر,-1,الدول العربيه فقط مستهدفة سواء نزاع عرقي وديني الصين الاف اللغات نسمع بهاذا المانيا فرنسا بلجيكا نسمع بهاذا فقط المغرب الجزاءر,"['الدول', 'العربيه', 'فقط', 'مستهدفة', 'سواء', 'نزاع', 'عرقي', 'وديني', 'الصين', 'الاف', 'اللغات', 'نسمع', 'بهاذا', 'المانيا', 'فرنسا', 'بلجيكا', 'نسمع', 'بهاذا', 'فقط', 'المغرب', 'الجزاءر']"
1535,الأخير يتحدثون الوطنية تكون مواطنا لغتك اصلي ولد لبلاد لغتك تحارب البربرية العرقية الفتنة الخ الخ,-1,الأخير يتحدثون الوطنية تكون مواطنا لغتك اصلي ولد لبلاد لغتك تحارب البربرية العرقية الفتنة الخ الخ,"['الأخير', 'يتحدثون', 'الوطنية', 'تكون', 'مواطنا', 'لغتك', 'اصلي', 'ولد', 'لبلاد', 'لغتك', 'تحارب', 'البربرية', 'العرقية', 'الفتنة', 'الخ', 'الخ']"
1536,تمسكوا بالقشرة واتركوا اللب لاسيادكم,-1,تمسكوا بالقشرة واتركوا اللب لاسيادكم,"['تمسكوا', 'بالقشرة', 'واتركوا', 'اللب', 'لاسيادكم']"
1537,البلاد العكار فوق الخنونة الفقر الجهل، المناكر الهشاشة الشفرة الحكرة، البطالة ،الرشوة السرقة، الدعارة، بنيات تحتية خدمات المستوى يقتسمون الغلة الميزانيات بينهم الله وطني!!,-1,البلاد العكار فوق الخنونة الفقر الجهل المناكر الهشاشة الشفرة الحكرة البطالة الرشوة السرقة الدعارة بنيات تحتية خدمات المستوى يقتسمون الغلة الميزانيات بينهم الله وطني,"['البلاد', 'العكار', 'فوق', 'الخنونة', 'الفقر', 'الجهل', 'المناكر', 'الهشاشة', 'الشفرة', 'الحكرة', 'البطالة', 'الرشوة', 'السرقة', 'الدعارة', 'بنيات', 'تحتية', 'خدمات', 'المستوى', 'يقتسمون', 'الغلة', 'الميزانيات', 'بينهم', 'الله', 'وطني']"
1538,أنثم أصابكم مرض الطاعون ؟,-1,أنثم أصابكم مرض الطاعون,"['أنثم', 'أصابكم', 'مرض', 'الطاعون']"
1539,شوهتم الاسلام بأفكاركم والاسلام منكم بريئ,-1,شوهتم الاسلام بأفكاركم والاسلام منكم بريئ,"['شوهتم', 'الاسلام', 'بأفكاركم', 'والاسلام', 'منكم', 'بريئ']"
1540,حارب وطن وطنه وقتل أبرياء. رحمة الله عليه. وإلى جهنم بءس المصير,-1,حارب وطن وطنه وقتل أبرياء رحمة الله عليه وإلى جهنم بءس المصير,"['حارب', 'وطن', 'وطنه', 'وقتل', 'أبرياء', 'رحمة', 'الله', 'عليه', 'وإلى', 'جهنم', 'بءس', 'المصير']"
1541,الفلسفة بريئة المجرم...لقد استراح العالم العقبى ﻷمثاله الظلاميين,-1,الفلسفة بريئة المجرم لقد استراح العالم العقبى مثاله الظلاميين,"['الفلسفة', 'بريئة', 'المجرم', 'لقد', 'استراح', 'العالم', 'العقبى', 'مثاله', 'الظلاميين']"
1542,صحفي غبي وسؤاله اغبانا لله وانا اليه راجعون.الصبر لعائلته,-1,صحفي غبي وسؤاله اغبانا لله وانا اليه راجعون الصبر لعائلته,"['صحفي', 'غبي', 'وسؤاله', 'اغبانا', 'لله', 'وانا', 'اليه', 'راجعون', 'الصبر', 'لعائلته']"
1543,ماندادا افشل حارس بتاريخ المنتخب الفرنسي يستحق التواجد كبديل لـ هوجو لوريس,-1,ماندادا افشل حارس بتاريخ المنتخب الفرنسي يستحق التواجد كبديل لـ هوجو لوريس,"['ماندادا', 'افشل', 'حارس', 'بتاريخ', 'المنتخب', 'الفرنسي', 'يستحق', 'التواجد', 'كبديل', 'لـ', 'هوجو', 'لوريس']"
1544,الشباب الله يهديدم اليسموعين المولوهييس ذالك الأرانب العنقودية والملابس الطبيعية والله يرحمنا بالشتا,-1,الشباب الله يهديدم اليسموعين المولوهييس ذالك الأرانب العنقودية والملابس الطبيعية والله يرحمنا بالشتا,"['الشباب', 'الله', 'يهديدم', 'اليسموعين', 'المولوهييس', 'ذالك', 'الأرانب', 'العنقودية', 'والملابس', 'الطبيعية', 'والله', 'يرحمنا', 'بالشتا']"
1545,لعنك الله ولعن امثالك انتو بجم شفشاوني يوسف اسمك مايشبه البشر يامتخلف,-1,لعنك الله ولعن امثالك انتو بجم شفشاوني يوسف اسمك مايشبه البشر يامتخلف,"['لعنك', 'الله', 'ولعن', 'امثالك', 'انتو', 'بجم', 'شفشاوني', 'يوسف', 'اسمك', 'مايشبه', 'البشر', 'يامتخلف']"
1546,الله الله عليكم مخترعون. فرق شاسع هده الكلمة القنون هده ليست كلمة تعبير فقط. العنف فهو عنف يمارس ضظ حيوان,-1,الله الله عليكم مخترعون فرق شاسع هده الكلمة القنون هده ليست كلمة تعبير فقط العنف فهو عنف يمارس ضظ حيوان,"['الله', 'الله', 'عليكم', 'مخترعون', 'فرق', 'شاسع', 'هده', 'الكلمة', 'القنون', 'هده', 'ليست', 'كلمة', 'تعبير', 'فقط', 'العنف', 'فهو', 'عنف', 'يمارس', 'ضظ', 'حيوان']"
1547,استمرو مزيد التفاهات,-1,استمرو مزيد التفاهات,"['استمرو', 'مزيد', 'التفاهات']"
1548,موعود بفشل,-1,موعود بفشل,"['موعود', 'بفشل']"
1549,الزاكى كمدرب صعيف جدا,-1,الزاكى كمدرب صعيف جدا,"['الزاكى', 'كمدرب', 'صعيف', 'جدا']"
1550,سير بلا رجعة. المستوى وأي فريق يتعاقد الفاشل سيكون القسم التاني.,-1,سير بلا رجعة المستوى وأي فريق يتعاقد الفاشل سيكون القسم التاني,"['سير', 'بلا', 'رجعة', 'المستوى', 'وأي', 'فريق', 'يتعاقد', 'الفاشل', 'سيكون', 'القسم', 'التاني']"
1551,مدرب فاااشل,-1,مدرب فاااشل,"['مدرب', 'فاااشل']"
1552,الاوباش مكيحملوهش فريق اتحاد طنجة مستواه ضعيف رغم احتلاله مراكز متقدمة,-1,الاوباش مكيحملوهش فريق اتحاد طنجة مستواه ضعيف رغم احتلاله مراكز متقدمة,"['الاوباش', 'مكيحملوهش', 'فريق', 'اتحاد', 'طنجة', 'مستواه', 'ضعيف', 'رغم', 'احتلاله', 'مراكز', 'متقدمة']"
1553,الاطار المظلوم الجامعه والفروق الوطنیه بمساعدت الاعلام الریاضی المغربی الفاشل یزغرتون ویطبلون للاجانب وینسون اهل البیت .,-1,الاطار المظلوم الجامعه والفروق الوطنیه بمساعدت الاعلام الریاضی المغربی الفاشل یزغرتون ویطبلون للاجانب وینسون اهل البیت,"['الاطار', 'المظلوم', 'الجامعه', 'والفروق', 'الوطنیه', 'بمساعدت', 'الاعلام', 'الریاضی', 'المغربی', 'الفاشل', 'یزغرتون', 'ویطبلون', 'للاجانب', 'وینسون', 'اهل', 'البیت']"
1554,تراجع مهول للبطولة الوطنية الموسم,-1,تراجع مهول للبطولة الوطنية الموسم,"['تراجع', 'مهول', 'للبطولة', 'الوطنية', 'الموسم']"
1555,الزاكي بحالو بحال شيخ الجزائري العقلية,-1,الزاكي بحالو بحال شيخ الجزائري العقلية,"['الزاكي', 'بحالو', 'بحال', 'شيخ', 'الجزائري', 'العقلية']"
1556,رغم كيدكم للرجل الزاكي القلب يقبل الشفارة وهذا ذنبه مثله المخلصين البلد الله تعالى ياخذ الحق,-1,رغم كيدكم للرجل الزاكي القلب يقبل الشفارة وهذا ذنبه مثله المخلصين البلد الله تعالى ياخذ الحق,"['رغم', 'كيدكم', 'للرجل', 'الزاكي', 'القلب', 'يقبل', 'الشفارة', 'وهذا', 'ذنبه', 'مثله', 'المخلصين', 'البلد', 'الله', 'تعالى', 'ياخذ', 'الحق']"
1557,الفرق دربها فشل معها. اقول لسي زاكي سير ترتاح راك شوهتي .حشم شويا,-1,الفرق دربها فشل معها اقول لسي زاكي سير ترتاح راك شوهتي حشم شويا,"['الفرق', 'دربها', 'فشل', 'معها', 'اقول', 'لسي', 'زاكي', 'سير', 'ترتاح', 'راك', 'شوهتي', 'حشم', 'شويا']"
1558,الوداد البيضاوي بقدم شيء كأس العالم للاندية,-1,الوداد البيضاوي بقدم شيء كأس العالم للاندية,"['الوداد', 'البيضاوي', 'بقدم', 'شيء', 'كأس', 'العالم', 'للاندية']"
1559,تماما اهل العفة والحشمة اصحاب الامن اكبر مفلسين ومفسدين التوعية,-1,تماما اهل العفة والحشمة اصحاب الامن اكبر مفلسين ومفسدين التوعية,"['تماما', 'اهل', 'العفة', 'والحشمة', 'اصحاب', 'الامن', 'اكبر', 'مفلسين', 'ومفسدين', 'التوعية']"
1560,شخصيا ارى منظر خلاب يظهر قلة التنظيم عشوائية المكان. اناس همهم الربح الجودة النظافة خبر كان. الثلوج فوق التراب منطقة منكوبة,-1,شخصيا ارى منظر خلاب يظهر قلة التنظيم عشوائية المكان اناس همهم الربح الجودة النظافة خبر كان الثلوج فوق التراب منطقة منكوبة,"['شخصيا', 'ارى', 'منظر', 'خلاب', 'يظهر', 'قلة', 'التنظيم', 'عشوائية', 'المكان', 'اناس', 'همهم', 'الربح', 'الجودة', 'النظافة', 'خبر', 'كان', 'الثلوج', 'فوق', 'التراب', 'منطقة', 'منكوبة']"
1561,كين صحاب مصليح الشخصية,-1,كين صحاب مصليح الشخصية,"['كين', 'صحاب', 'مصليح', 'الشخصية']"
1562,السلام عليكم افيقو المغارب فقط مضوع فتنة سياسية يفعل السيتسيون مايشاؤن ضل الفتنة هضر الزيادة الوضيفة الاجور,-1,السلام عليكم افيقو المغارب فقط مضوع فتنة سياسية يفعل السيتسيون مايشاؤن ضل الفتنة هضر الزيادة الوضيفة الاجور,"['السلام', 'عليكم', 'افيقو', 'المغارب', 'فقط', 'مضوع', 'فتنة', 'سياسية', 'يفعل', 'السيتسيون', 'مايشاؤن', 'ضل', 'الفتنة', 'هضر', 'الزيادة', 'الوضيفة', 'الاجور']"
1563,لمسؤول وضعية الكاك الوزير رىبس المجلس البلدي عزيز الرباح..نتمنى المسؤولين التدخل العاجل..هنا استغلال فاضح للرياضة السياسيبن..,-1,لمسؤول وضعية الكاك الوزير رىبس المجلس البلدي عزيز الرباح نتمنى المسؤولين التدخل العاجل هنا استغلال فاضح للرياضة السياسيبن,"['لمسؤول', 'وضعية', 'الكاك', 'الوزير', 'رىبس', 'المجلس', 'البلدي', 'عزيز', 'الرباح', 'نتمنى', 'المسؤولين', 'التدخل', 'العاجل', 'هنا', 'استغلال', 'فاضح', 'للرياضة', 'السياسيبن']"
1564,متفق تماما التحليل...الكاك ضحية السياسة المال المصالح...فمتى ياتي الفرج ترى؟؟؟,-1,متفق تماما التحليل الكاك ضحية السياسة المال المصالح فمتى ياتي الفرج ترى,"['متفق', 'تماما', 'التحليل', 'الكاك', 'ضحية', 'السياسة', 'المال', 'المصالح', 'فمتى', 'ياتي', 'الفرج', 'ترى']"
1565,عقلية سخيفة تستهزأ القوانين الإلتزام,-1,عقلية سخيفة تستهزأ القوانين الإلتزام,"['عقلية', 'سخيفة', 'تستهزأ', 'القوانين', 'الإلتزام']"
1566,ارباع مناطق البلد تعيش ضروف القرون الوسطى وتجاهل تام طرف الدولة تعير اَي اهتمام . فقط النفخ الإعلامي والوعود الوهمية ومشاريع التنمية الورق,-1,ارباع مناطق البلد تعيش ضروف القرون الوسطى وتجاهل تام طرف الدولة تعير اهتمام فقط النفخ الإعلامي والوعود الوهمية ومشاريع التنمية الورق,"['ارباع', 'مناطق', 'البلد', 'تعيش', 'ضروف', 'القرون', 'الوسطى', 'وتجاهل', 'تام', 'طرف', 'الدولة', 'تعير', 'اهتمام', 'فقط', 'النفخ', 'الإعلامي', 'والوعود', 'الوهمية', 'ومشاريع', 'التنمية', 'الورق']"
1567,واش هاديك طريق بعدا آلي كتوصل لاوكايمدن !! حشومة يتكلم الانسان محطة سياحة مناظر وجود طريق كارتية كتلك..,-1,واش هاديك طريق بعدا آلي كتوصل لاوكايمدن حشومة يتكلم الانسان محطة سياحة مناظر وجود طريق كارتية كتلك,"['واش', 'هاديك', 'طريق', 'بعدا', 'آلي', 'كتوصل', 'لاوكايمدن', 'حشومة', 'يتكلم', 'الانسان', 'محطة', 'سياحة', 'مناظر', 'وجود', 'طريق', 'كارتية', 'كتلك']"
1568,المنتجعات المغربية تعاني المشكل .,-1,المنتجعات المغربية تعاني المشكل,"['المنتجعات', 'المغربية', 'تعاني', 'المشكل']"
1569,منطقة تفتقر للبنيات التحتية المهمة. الطرق المؤدية هده المحطة. بناء فنادق.منازل وأكواخ سياحية. إنشاء مطاعم ومقاهي تليق بهدا المكان,-1,منطقة تفتقر للبنيات التحتية المهمة الطرق المؤدية هده المحطة بناء فنادق منازل وأكواخ سياحية إنشاء مطاعم ومقاهي تليق بهدا المكان,"['منطقة', 'تفتقر', 'للبنيات', 'التحتية', 'المهمة', 'الطرق', 'المؤدية', 'هده', 'المحطة', 'بناء', 'فنادق', 'منازل', 'وأكواخ', 'سياحية', 'إنشاء', 'مطاعم', 'ومقاهي', 'تليق', 'بهدا', 'المكان']"
1570,تجعل الاستثناء قاعدة,-1,تجعل الاستثناء قاعدة,"['تجعل', 'الاستثناء', 'قاعدة']"
1571,المشكل ليس القوانين البنية التحتية المشكلة الكبرى العقليات الوعي,-1,المشكل ليس القوانين البنية التحتية المشكلة الكبرى العقليات الوعي,"['المشكل', 'ليس', 'القوانين', 'البنية', 'التحتية', 'المشكلة', 'الكبرى', 'العقليات', 'الوعي']"
1572,والقتل سيستمر المناطق العربية,-1,والقتل سيستمر المناطق العربية,"['والقتل', 'سيستمر', 'المناطق', 'العربية']"
1573,احنا مالنا.راكم حرب واش بغيتو يضربوكم بالشكلاط,-1,احنا مالنا راكم حرب واش بغيتو يضربوكم بالشكلاط,"['احنا', 'مالنا', 'راكم', 'حرب', 'واش', 'بغيتو', 'يضربوكم', 'بالشكلاط']"
1574,الحكومة طاغية تخلق فتن يرا المواطن اوضاع بلاده ويبقا منعس الفتن عنف موزين .... اتدا الحكومة تتكلم حقوق المواطن,-1,الحكومة طاغية تخلق فتن يرا المواطن اوضاع بلاده ويبقا منعس الفتن عنف موزين اتدا الحكومة تتكلم حقوق المواطن,"['الحكومة', 'طاغية', 'تخلق', 'فتن', 'يرا', 'المواطن', 'اوضاع', 'بلاده', 'ويبقا', 'منعس', 'الفتن', 'عنف', 'موزين', 'اتدا', 'الحكومة', 'تتكلم', 'حقوق', 'المواطن']"
